,column,mean_value
1,N_EEA_anc_12SH_12,96.83498468
2,N_EEA_hap_A1_00,68.66116217
3,N_EEA_hap_A2_00,73.36210033
4,N_EEA_hap_B3_00,42.82220467
5,N_EEA_hap_B4_00,40.61731763
6,N_EE_CTRL_rep01_cyc01,114.7800354
7,N_EE_CTRL_rep01_cyc02,76.08658817
8,N_EE_CTRL_rep01_cyc03,560.5606692
9,N_EE_CTRL_rep02_cyc01,133.4446439
10,N_EE_CTRL_rep02_cyc02,64.09159008
11,N_EE_CTRL_rep02_cyc03,467.7917863
12,N_EE_CTRL_rep03_cyc01,40.08515221
13,N_EE_CTRL_rep03_cyc02,191.08453
14,N_EE_CTRL_rep03_cyc03,490.9836301
15,N_EE_CTRL_rep04_cyc01,52.81265556
16,N_EE_CTRL_rep04_cyc03,531.7551455
17,N_EE_CTRL_rep05_cyc01,62.09474919
18,N_EE_CTRL_rep05_cyc02,156.5700029
19,N_EE_CTRL_rep05_cyc03,503.1429016
20,N_EE_CTRL_rep06_cyc01,29.62870955
21,N_EE_CTRL_rep06_cyc03,514.3986933
22,N_EE_EXPT_rep01_cyc01,28.47661784
23,N_EE_EXPT_rep01_cyc02,110.4553896
24,N_EE_EXPT_rep01_cyc03,483.060717
25,N_EE_EXPT_rep02_cyc01,33.9178633
26,N_EE_EXPT_rep02_cyc02,145.5489182
27,N_EE_EXPT_rep02_cyc03,480.2078547
28,N_EE_EXPT_rep03_cyc01,38.92576106
29,N_EE_EXPT_rep03_cyc02,224.393811
30,N_EE_EXPT_rep03_cyc03,557.7223578
31,N_EE_EXPT_rep04_cyc01,61.00093337
32,N_EE_EXPT_rep04_cyc02,324.3708597
33,N_EE_EXPT_rep04_cyc03,336.1130816
34,N_EE_EXPT_rep05_cyc01,92.95986502
35,N_EE_EXPT_rep05_cyc02,95.21752345
36,N_EE_EXPT_rep05_cyc03,393.012445
37,N_EE_EXPT_rep06_cyc01,89.61559449
38,N_EE_EXPT_rep06_cyc02,59.40154126
39,N_EE_EXPT_rep06_cyc03,514.6180835
40,replicate_average,237.0097265
,,
,replicate average excludes anc and hap pops,
